,signal_001,signal_002,signal_003,signal_004,signal_005,signal_006,signal_007,signal_008,signal_009,signal_010,signal_011,signal_012,signal_013,signal_014
00:00:00,1.377125025,28.7665596,0.503984213,0.503984213,1.698240995,34.1855011,148.7487946,18.2186203,24.57629967,0.5,0.003531958,0.0,996.72229,0.001730082
00:00:01,1.374668002,28.76667976,0.504003286,0.504003286,1.682299972,37.04330826,148.7487946,18.2186203,24.57261086,0.5,0.003595024,0.0,996.7224731,0.000288582
00:00:02,1.450739026,28.76679993,0.504022419,0.504022419,1.683137059,30.86943054,148.6676941,18.2186203,24.5689106,0.5,0.003658089,0.0,996.7227173,0.001369707
00:00:03,1.440179944,28.76691055,0.504041612,0.504041612,1.683974028,25.72451973,148.6629028,18.2186203,24.7259903,0.5,0.003721155,0.0,996.7227783,0.002450833
00:00:04,1.429620028,28.76703072,0.504060686,0.504060686,1.684810996,21.43709946,148.4817047,18.2186203,24.7259903,0.5,0.003784221,0.0,996.7230225,0.002594983
00:00:05,1.451815009,28.76715088,0.504079819,0.504079819,1.694648981,17.86425018,148.5151062,18.2186203,24.7259903,0.5,0.003847286,0.0,996.7232056,0.002739133
00:00:06,1.423897028,28.76726913,0.504099011,0.504099011,1.691311955,14.88687992,148.5007935,18.21862984,24.7259903,0.5,0.003910352,0.0,996.7233887,0.002883283
00:00:07,1.399085045,28.76737976,0.504118085,0.504118085,1.683686018,12.40573025,148.3625031,18.21862984,24.7259903,0.5,0.003973417,0.0,996.7235718,0.003027433
00:00:08,1.442489028,28.76749992,0.504137278,0.504137278,1.683910966,10.33810997,148.2480927,18.21862984,24.63174057,0.5,0.004036483,0.0,996.7238159,0.003171583
00:00:09,1.388316035,28.76762009,0.504156411,0.504156411,1.684136033,20.14179993,148.2575989,18.21862984,24.63174057,0.5,0.004099549,0.0,996.723999,0.002883283
00:00:10,1.39339304,28.76773071,0.504175484,0.504175484,1.681923032,24.16165924,148.1860962,18.21862984,24.63174057,0.5,0.004162614,0.0,996.7241821,0.002594983
00:00:11,1.433868051,28.76785088,0.504194677,0.504194677,1.683251023,29.37068939,148.3005066,18.21862984,24.63174057,0.5,0.00422568,0.0,996.7244263,0.002306683
00:00:12,1.436126947,28.76796913,0.50421381,0.50421381,1.687793016,36.15167999,148.5294037,18.21863937,24.63174057,0.5,0.004288746,0.0,996.7244873,0.002018383
00:00:13,1.454372048,28.76808929,0.504232883,0.504232883,1.687430024,31.87598991,149.0301056,18.21863937,24.66315079,0.5,0.004351811,0.0,996.7246704,0.001730082
00:00:14,1.463930011,28.76819992,0.504252076,0.504252076,1.692116976,26.5633297,149.4544983,18.21863937,24.66198921,0.5,0.004414877,0.0,996.7249146,0.001441782
00:00:15,1.484338999,28.76832008,0.504271328,0.504271328,1.70519197,22.13610077,149.9647064,18.21863937,24.66082001,0.5,0.004477943,0.0,996.7250977,0.001153482
00:00:16,1.426555037,28.76844025,0.504290402,0.504290402,1.704821944,18.44675064,150.3079987,18.21863937,24.65966034,0.5,0.004541008,0.0,996.7252808,0.000865182
00:00:17,1.50031805,28.76855087,0.504309475,0.504309475,1.708209991,15.37228966,150.7848969,18.21863937,24.65850067,0.5,0.004604074,0.0,996.7255249,0.000576882
00:00:18,1.48457396,28.76866913,0.504328728,0.504328728,1.716591001,12.81023979,151.0948029,18.21863937,24.65732956,0.5,0.00466714,0.0,996.7255859,0.000288582
00:00:19,1.426077962,28.76878929,0.504347801,0.504347801,1.717810035,11.81062031,151.4048004,18.21865082,24.65616989,0.5,0.004730206,0.0,996.7258911,0.000288582
00:00:20,1.481233954,28.76890945,0.504366875,0.504366875,1.722983003,9.842180252,151.6766052,18.21865082,24.65501022,0.5,0.004793271,0.0,996.7260742,0.000288582
00:00:21,1.48437798,28.76902008,0.504386127,0.504386127,1.724730968,8.201816559,152.1152954,18.21865082,24.65383911,0.5,0.004856336,0.0,996.7263184,0.000288582
00:00:22,1.440901041,28.76914024,0.50440532,0.50440532,1.724233985,6.834846973,152.4824982,18.21865082,24.65267944,0.5,0.004919402,0.0,996.7263794,0.000288582
00:00:23,1.461398959,28.76926041,0.504424393,0.504424393,1.723737001,5.790634155,152.7971954,18.21865082,24.65151978,0.5,0.004982468,0.0,996.7266235,0.000288582
00:00:24,1.428424001,28.76938057,0.504443526,0.504443526,1.717512012,4.74642086,153.2882996,18.21865082,24.65035057,0.5,0.005045534,0.0,996.7268066,0.0
00:00:25,1.447052002,28.76948929,0.504462719,0.504462719,1.717097998,7.182301998,153.6697998,18.21865082,24.6491909,0.5,0.005108599,0.0,996.7269897,0.0
00:00:26,1.406221986,28.76960945,0.504481792,0.504481792,1.716685057,6.085006237,153.8795929,18.21865082,24.64802933,0.5,0.005171665,0.0,996.7271729,0.0
00:00:27,1.459277987,28.76972961,0.504500926,0.504500926,1.714090943,4.987709999,154.2754059,18.21865082,24.64686012,0.5,0.00523473,0.0,996.727417,0.0
00:00:28,1.437394977,28.76984978,0.504520118,0.504520118,1.711496949,4.225697994,154.5137939,18.21866035,24.64570045,0.5,0.005297796,0.0,996.727478,0.0
00:00:29,1.464650035,28.7699604,0.504539192,0.504539192,1.713861942,3.463686943,154.7521973,18.21866035,24.64454079,0.5,0.005360862,0.0,996.7277222,0.0
00:00:30,1.465106964,28.77008057,0.504558384,0.504558384,1.716228008,2.886405945,154.8762054,18.21866035,24.64336967,0.5,0.005423928,0.0,996.7280273,0.0
00:00:31,1.405277967,28.77020073,0.504577518,0.504577518,1.707571983,2.79377389,154.7093048,18.21866035,24.64221001,0.5,0.005486993,0.0,996.7280884,0.0
00:00:32,1.43770802,28.77032089,0.50459671,0.50459671,1.709936976,2.401437998,154.0559998,18.21866035,24.64105034,0.5,0.005550059,0.0,996.7282715,0.000288582
00:00:33,1.412122965,28.77042961,0.504615784,0.504615784,1.706236959,2.00910306,153.2691956,18.21866035,24.63987923,0.5,0.005613124,0.0,996.7285156,0.000648957
00:00:34,1.396345973,28.77054977,0.504586279,0.504586279,1.69867599,1.616767049,152.8592072,18.21866035,24.63871956,0.5,0.00567619,0.0,996.7286987,0.001009332
00:00:35,1.451745987,28.77066994,0.504556775,0.504556775,1.706418037,9.27191925,152.7637939,18.21866989,24.63755989,0.5,0.005739256,0.0,996.7288818,0.0
00:00:36,1.438179016,28.77078056,0.504527271,0.504527271,1.705214024,7.726599216,152.7733002,18.21866989,24.63639069,0.5,0.005802321,0.0,996.729126,0.0
00:00:37,1.457350016,28.77090073,0.504497826,0.504497826,1.709813952,6.438833237,152.8401031,18.21866989,24.63522911,0.5,0.005865387,0.0,996.729187,0.0
00:00:38,1.491662979,28.77102089,0.504468322,0.504468322,1.71696806,5.455122948,153.2073059,18.21866989,24.63406944,0.5,0.005928453,0.0,996.7293701,0.0
00:00:39,1.477262974,28.77113914,0.504438818,0.504438818,1.715922952,4.471412182,153.4981995,18.21866989,24.63290024,0.5,0.005991518,0.0,996.7296143,0.001009332
00:00:40,1.466747046,28.77124977,0.504409313,0.504409313,1.714877963,3.78828001,153.7890015,18.21866989,24.63174057,0.5,0.006054584,0.0,996.7299194,0.006054584
00:00:41,1.44551599,28.77136993,0.504379809,0.504379809,1.716351032,3.105146885,153.4122925,18.21866989,24.75741005,0.5,0.005739256,0.0,996.7299805,0.0
00:00:42,1.402598977,28.7714901,0.504350305,0.504350305,1.71202004,2.669085026,152.9402008,18.21867943,24.75741005,0.5,0.005423928,0.0,996.7302246,0.0
